,,,,,,,,,,,
"$ millions, unless otherwise indicated",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,
Summary external debt data by debtor type,,,,,,,,,,,
Total External debt stocks,13775.5,16911.7,19783.8,21057.7,26951.3,31433.8,34970.1,38038.5,41219.1,41556.3,42910
Use of IMF Credit and SDR allocations,1470.9,1327.9,1204.8,1103.4,1046.7,878.6,719.7,1390.7,2912.9,3389.1,3799.2
Long-term external debt,9885,13586.4,15880.7,17820.1,23247.9,28008.8,31631.4,34354.5,35871.2,35606,36295.4
Public and publicly guaranteed sector,9770,13300.2,15145.9,17146.6,22399.3,26988,30814.1,33533.6,35227.7,35036.8,35863.7
Public sector,9770,13300.2,15145.9,17146.6,22399.3,26988,30814.1,33533.6,35227.7,35036.8,35863.7
of which: General Government,9334.3,12921.7,14750.5,16649.7,21088.4,25479,29258.8,31978.4,33752.3,33839.8,35257.2
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..,..,..
Private sector not guaranteed,115,286.2,734.8,673.5,848.6,1020.8,817.3,820.9,643.5,569.2,431.7
Short-term external debt,2419.7,1997.4,2698.3,2134.2,2656.7,2546.4,2619,2293.3,2435,2561.2,2815.4
Disbursements (long-term),1335.4,5301.1,3140.9,2784.2,5217.2,6621.6,6721.5,3416.8,3405.3,2957.1,3111.1
Public and publicly guaranteed sector,1215.4,5119.9,2600.9,2649.2,5182.9,6247.7,6711.5,3272.6,3405.3,2881.1,3110
Public sector,1215.4,5119.9,2600.9,2649.2,5182.9,6247.7,6711.5,3272.6,3405.3,2881.1,3110
of which: General Government,1119,5100.1,2559.9,2537.9,4343,6016.4,6637.1,3265.9,3405.3,2769.1,3110
Private sector guaranteed by public sector,0,0,0,0,0,0,0,0,0,0,0
Private sector not guaranteed,120,181.2,540,135,34.3,373.8,10,144.2,0,76,1.2
Principal repayments (long-term),319,952.4,421.6,529.9,708.7,1566.8,3009.5,1464.7,1334.2,2015.9,2195.3
Public and publicly guaranteed sector,314,942.4,330.2,333.5,568.1,1370.7,2799.4,1310.2,1165.3,1872.4,2055.5
Public sector,314,942.4,330.2,333.5,568.1,1370.7,2799.4,1310.2,1165.3,1872.4,2055.5
of which: General Government,293.8,920.5,305.6,315.8,517.9,1332.4,2761.7,1260.3,1159.3,1845.9,1874
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..,..,..
Private sector not guaranteed,5,10,91.4,196.4,140.7,196.1,210,154.5,168.9,143.4,139.7
Interest payments (long-term),138.6,293.9,363.8,479.3,657.1,996,1242.2,1195.1,951.6,1117.6,1390.6
Public and publicly guaranteed sector,137.1,287.8,349.7,437.5,605.9,941.2,1181.3,1149.8,916.1,1088.1,1348.4
Public sector,137.1,287.8,349.7,437.5,605.9,941.2,1181.3,1149.8,916.1,1088.1,1348.4
of which: General Government,131.5,282.2,345.5,434.9,602.3,917.6,1156.6,1125.3,915.3,1087.9,1339.6
